feat,ret,n_days,n_obs,ic_mean,ic_std,ir,hit_rate,ic_p5,ic_p95,pillar,verdict
chip_foreign_trend_20d,fwd_ret_5,489,865766,0.0034214653516449222,0.04246474688194178,0.0805719002907776,0.5255623721881391,-0.06166773554706304,0.07511410677013297,chip,REJECT
chip_foreign_net_5d,fwd_ret_5,498,892894,0.003084570329061975,0.04734465232218061,0.06515139889657352,0.5281124497991968,-0.0749183991011585,0.07481281739850726,chip,REJECT
chip_foreign_net_20d,fwd_ret_5,494,876585,0.0008049267050823618,0.04756245760498794,0.01692357261618769,0.5020242914979757,-0.076656827013276,0.08195054525281047,chip,REJECT
chip_foreign_net_1d,fwd_ret_5,499,897770,-0.001253007093974416,0.058861446346711116,-0.0212873989978744,0.5210420841683366,-0.09411462453060375,0.10004718858190588,chip,REJECT
chip_all_inst_net_5d,fwd_ret_5,498,892894,-0.003052745727516823,0.04962657155538609,-0.06151433862622938,0.5160642570281124,-0.08346699453203787,0.0794188297011735,chip,REJECT
chip_all_inst_net_20d,fwd_ret_5,494,876585,-0.0035115491156994813,0.04903514048868327,-0.07161291026605512,0.520242914979757,-0.08595521888609553,0.07449900223890615,chip,REJECT
chip_consensus_5d,fwd_ret_5,498,937852,-0.006432083834689621,0.038461858229592936,-0.16723278933363422,0.5602409638554217,-0.07076745037038547,0.05718308672941286,chip,WEAK
chip_trust_net_5d,fwd_ret_5,498,892894,-0.007767524804443738,0.03952127939901726,-0.19654031758488277,0.5903614457831325,-0.07304375544143264,0.057408103110592724,chip,WEAK
chip_trust_net_20d,fwd_ret_5,494,876585,-0.008829087625555211,0.036037826998985854,-0.24499500554802242,0.6133603238866396,-0.06696099955958013,0.051720397580988696,chip,WEAK
chip_dealer_net_5d,fwd_ret_5,498,892894,-0.01209854547926062,0.049825414868789886,-0.24281876048841533,0.5803212851405622,-0.09820572085214097,0.06915505192816959,chip,WEAK
event_sent_score_5d,fwd_ret_1,488,945607,-0.00063960854430005,0.03234370824866404,-0.01977536216263851,0.5020491803278688,-0.05439941477267094,0.05362653269207246,event,REJECT
event_mention_cnt_1d,fwd_ret_1,486,945607,-0.0033751802119192697,0.03486150175867059,-0.09681683351692705,0.5493827160493827,-0.06182898712635492,0.054445395376246306,event,REJECT
