feat,ret,n_days,n_obs,ic_mean,ic_std,ir,hit_rate,ic_p5,ic_p95,pillar,verdict
chip_foreign_net_5d,fwd_ret_1,502,900435,0.0006431617123617237,0.051168317310363906,0.012569530251710159,0.4900398406374502,-0.08106680723518173,0.08432327286373147,chip,REJECT
chip_foreign_net_20d,fwd_ret_1,498,884044,0.0005288120380691473,0.04766433755038849,0.011094500946543358,0.5020080321285141,-0.07326599924480513,0.08247146216671222,chip,REJECT
chip_foreign_trend_20d,fwd_ret_1,493,873200,-0.0005021695948434581,0.0439098157460988,-0.011436385835622046,0.4969574036511156,-0.07734182949820925,0.07007176755670161,chip,REJECT
chip_all_inst_net_20d,fwd_ret_1,498,884044,-0.0017636021827452367,0.05292260141575682,-0.033324177866663855,0.5120481927710844,-0.08237153051620857,0.08947238235167257,chip,REJECT
chip_trust_net_5d,fwd_ret_1,502,900435,-0.0031612467494024532,0.041918401139477764,-0.07541429690707514,0.5338645418326693,-0.07048612916287153,0.06708192287278626,chip,REJECT
chip_all_inst_net_5d,fwd_ret_1,502,900435,-0.003269292618070826,0.05468349767685241,-0.05978572616898866,0.5318725099601593,-0.09106533483981386,0.08840089377112557,chip,REJECT
chip_consensus_5d,fwd_ret_1,502,945607,-0.0037539892308341635,0.04171505345469462,-0.08999123625506679,0.5398406374501992,-0.0694421095272707,0.06698156007499825,chip,REJECT
chip_trust_net_20d,fwd_ret_1,498,884044,-0.004805089446514696,0.04048091628711059,-0.11870011568993735,0.5261044176706827,-0.0722689286703516,0.05911820973610983,chip,REJECT
chip_foreign_net_1d,fwd_ret_1,503,905325,-0.006202162732567062,0.06046198589770313,-0.10257954052420025,0.5666003976143141,-0.10463519754084907,0.0941146021232943,chip,WEAK
chip_dealer_net_5d,fwd_ret_1,502,900435,-0.007867588108202027,0.05331128080592344,-0.1475782984251216,0.5438247011952191,-0.09988117606783037,0.07802425725613231,chip,WEAK
chip_foreign_net_20d,fwd_ret_20,479,848665,0.002276362638918571,0.050148712884552867,0.04539224454591637,0.5093945720250522,-0.07298266649282267,0.08873303385175056,chip,REJECT
chip_foreign_net_5d,fwd_ret_20,483,864701,0.0007805135438716341,0.04771702741808574,0.016357128390101755,0.525879917184265,-0.07969289886183518,0.08034224256473729,chip,REJECT
chip_foreign_trend_20d,fwd_ret_20,474,837909,0.00031271518615401216,0.04429683358930734,0.007059538138850119,0.5147679324894515,-0.07625010215916116,0.07531987932172171,chip,REJECT
chip_foreign_net_1d,fwd_ret_20,484,869483,-0.0027015573617544322,0.05151098960596812,-0.052446232977077706,0.5268595041322314,-0.0836925962943377,0.0825215723363744,chip,REJECT
chip_all_inst_net_20d,fwd_ret_20,479,848665,-0.0030786751683528173,0.05135899313898222,-0.05994422748946101,0.5407098121085595,-0.0869387159095281,0.08735567195101036,chip,REJECT
chip_all_inst_net_5d,fwd_ret_20,483,864701,-0.004999604436357632,0.047015731510399804,-0.10633896944157356,0.556935817805383,-0.0800788869636908,0.07355146074146095,chip,REJECT
chip_trust_net_20d,fwd_ret_20,479,848665,-0.0057593456780375375,0.03404501310869369,-0.16916855516107404,0.5678496868475992,-0.0594010341910922,0.052546313465784686,chip,WEAK
chip_consensus_5d,fwd_ret_20,483,908906,-0.0058749933248996595,0.03217869225274397,-0.1825740237905001,0.5652173913043478,-0.060306509161947235,0.04524359042655516,chip,WEAK
chip_dealer_net_5d,fwd_ret_20,483,864701,-0.00792622191528861,0.04308088294553609,-0.18398466728987736,0.5610766045548654,-0.08321393939628219,0.062460404522121045,chip,WEAK
